CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
5058 1001 QUANTUM_EX
5068 1001 QUANTUM_EX
5078 1001 QUANTUM_EX
5088 1001 QUANTUM_EX
5098 1001 QUANTUM_EX
5108 1001 QUANTUM_EX
5118 1001 QUANTUM_EX
5128 1001 QUANTUM_EX
5138 1001 QUANTUM_EX
5148 1001 QUANTUM_EX
5158 1001 QUANTUM_EX
5168 1001 QUANTUM_EX
5178 1001 QUANTUM_EX
5188 1001 QUANTUM_EX
5198 1001 QUANTUM_EX
5208 1001 QUANTUM_EX
5218 1001 QUANTUM_EX
5228 1001 QUANTUM_EX
5238 1001 QUANTUM_EX
5248 1001 QUANTUM_EX
5258 1001 QUANTUM_EX
5268 1001 QUANTUM_EX
5278 1001 QUANTUM_EX
5288 1001 QUANTUM_EX
5298 1001 QUANTUM_EX
5308 1001 QUANTUM_EX
5318 1001 QUANTUM_EX
5328 1001 QUANTUM_EX
5338 1001 QUANTUM_EX
5348 1001 QUANTUM_EX
5358 1001 QUANTUM_EX
5368 1001 QUANTUM_EX
5378 1001 QUANTUM_EX
5388 1001 QUANTUM_EX
5389 1000 DESBLOQUEIO
5398 1001 QUANTUM_EX
5398 1000 EXEC
5408 1000 QUANTUM_EX
5408 1001 EXEC
5418 1001 QUANTUM_EX
5418 1000 EXEC
5428 1000 QUANTUM_EX
5428 1001 EXEC
5438 1001 QUANTUM_EX
5438 1000 EXEC
5448 1000 QUANTUM_EX
5448 1001 EXEC
5458 1001 QUANTUM_EX
5458 1000 EXEC
5468 1000 QUANTUM_EX
5468 1001 EXEC
5478 1001 QUANTUM_EX
5478 1000 EXEC
5488 1000 QUANTUM_EX
5488 1001 EXEC
5498 1001 QUANTUM_EX
5498 1000 EXEC
5508 1000 QUANTUM_EX
5508 1001 EXEC
5518 1001 QUANTUM_EX
5518 1000 EXEC
5528 1000 QUANTUM_EX
5528 1001 EXEC
5538 1001 QUANTUM_EX
5538 1000 EXEC
5548 1000 QUANTUM_EX
5548 1001 EXEC
5558 1001 QUANTUM_EX
5558 1000 EXEC
5568 1000 QUANTUM_EX
5568 1001 EXEC
5578 1001 QUANTUM_EX
5578 1000 EXEC
5588 1000 QUANTUM_EX
5588 1001 EXEC
5598 1001 QUANTUM_EX
5598 1000 EXEC
5608 1000 QUANTUM_EX
5608 1001 EXEC
5618 1001 QUANTUM_EX
5618 1000 EXEC
5628 1000 QUANTUM_EX
